epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,55.5659,0.72277,0.72727,1,0.59408,8.335e-05,8.335e-05,8.335e-05
2,106.186,0.59594,0.79545,1,0.47976,0.000171268,0.000171268,0.000171268
3,155.646,0.38294,0.79545,1,0.37462,0.000245983,0.000245983,0.000245983
4,189.909,0.26957,0.79545,1,0.37526,0.000307495,0.000307495,0.000307495
5,230.35,0.24425,0.84091,1,0.26864,0.000355804,0.000355804,0.000355804
6,275.801,0.12522,0.88636,1,0.19025,0.000390912,0.000390912,0.000390912
7,308.911,0.17788,0.90909,1,0.1196,0.000412816,0.000412816,0.000412816
8,339.453,0.0838,0.93182,1,0.08851,0.000421518,0.000421518,0.000421518
9,377.38,0.05968,0.95455,1,0.08829,0.000417017,0.000417017,0.000417017
10,423.141,0.07894,0.95455,1,0.08913,0.000399313,0.000399313,0.000399313
11,469.323,0.03594,0.93182,1,0.15227,0.000368407,0.000368407,0.000368407
12,513.917,0.02841,0.93182,1,0.07998,0.000324298,0.000324298,0.000324298
13,558.302,0.03506,0.95455,1,0.06187,0.000266987,0.000266987,0.000266987
14,588.546,0.03268,0.95455,1,0.08525,0.000196473,0.000196473,0.000196473
15,618.714,0.10671,0.93182,1,0.08721,0.000112756,0.000112756,0.000112756
